ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2025,40.191,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2025,47.13,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Level not stated,2025,19.163,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2025,17.005,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-19,Education (Aggregate levels): Less than basic,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2025,17.842,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-19,Education (Aggregate levels): Level not stated,2025,17.075,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2025,24.278,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2025,21.606,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2025,46.265,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 20-24,Education (Aggregate levels): Level not stated,2025,23.886,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2025,16.712,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2025,28.939,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 25-29,Education (Aggregate levels): Level not stated,2025,16.661,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2025,18.651,,,,Repository: ILO-STATISTICS - Micro data processing
